Department;Region;District;Kostenstelle;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Köln;Köln rechtsrheinisch;40302;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bonn ;Bad Honnef;40315;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bonn ;Bonn;40310;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bonn ;Bonn Bad Godesberg;40311;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bonn ;Siegburg;40317;;
Abteilung Nordrhein-Westfalen Süd (NRW Süd);Bonn ;Troisdorf;40318;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Haldensleben;10309;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Magdeburg;10301;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Stendal;10308;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Bernburg;10303;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Dessau-Roßlau;10314;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Halberstadt;10311;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Lutherstadt Wittenberg;10304;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Wernigerode;10312;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Halle;10315;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Lutherstadt Eisleben;10305;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Merseburg;10306;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Magdeburg / Bernburg / Halle;Naumburg;10307;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Bad Salzungen;20102;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Eisenach;20111;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Erfurt;20101;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Gotha;20105;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Leinefelde;20104;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Nordhausen;20107;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Gera;20109;;
Abteilung Sachsen-Anhalt, Thüringen, Sachsen (ST/TH/SN);Erfurt / Jena;Jena;20112;;
